cohort_month,new_users,month_number,num_users,retention
2021-05-01,272106,0,272106,1
2021-05-01,272106,1,65766,0.24169257568741592
2021-05-01,272106,2,47527,0.17466355023409993
2021-05-01,272106,3,44203,0.16244772257870094
2021-05-01,272106,4,38828,0.14269439115638757
2021-05-01,272106,5,43452,0.1596877687371833
2021-05-01,272106,6,42431,0.1559355545265448
2021-05-01,272106,7,34423,0.126505846986101
2021-05-01,272106,8,26807,0.09851675450008453
2021-05-01,272106,9,20219,0.07430560149353561
2021-05-01,272106,10,21151,0.07773073728620464
2021-05-01,272106,11,18746,0.0688922699242207
2021-05-01,272106,12,18637,0.06849169073816821
2021-05-01,272106,13,15485,0.056907969688283246
2021-05-01,272106,14,13442,0.04939986622860209
2021-05-01,272106,15,15401,0.056599266462334534
2021-05-01,272106,16,14476,0.05319985593849456
2021-05-01,272106,17,13883,0.05102055816483282
2021-05-01,272106,18,15546,0.05713214703093647
2021-05-01,272106,19,11824,0.043453654090685245
2021-06-01,187319,0,187319,1
2021-06-01,187319,1,50457,0.2693640260731693
2021-06-01,187319,2,32243,0.1721288283623124
2021-06-01,187319,3,24639,0.1315349750959593
2021-06-01,187319,4,23772,0.12690650708150267
2021-06-01,187319,5,23493,0.1254170692775426
2021-06-01,187319,6,20286,0.10829654226213038
2021-06-01,187319,7,15793,0.08431072128294513
2021-06-01,187319,8,12130,0.06475584430837235
2021-06-01,187319,9,13475,0.07193610899054553
2021-06-01,187319,10,11691,0.06241224862400504
2021-06-01,187319,11,11628,0.062075923958594695
2021-06-01,187319,12,10046,0.053630437916068315
2021-06-01,187319,13,8829,0.047133499538220894
2021-06-01,187319,14,10331,0.055151906640543674
2021-06-01,187319,15,9623,0.051372258019741726
2021-06-01,187319,16,9263,0.04945040278882548
2021-06-01,187319,17,10262,0.05478355105461806
2021-06-01,187319,18,7805,0.04166688910361469
2021-07-01,171543,0,171543,1
2021-07-01,171543,1,41522,0.24205009822610074
2021-07-01,171543,2,22377,0.13044542767702558
2021-07-01,171543,3,19190,0.11186699544720566
2021-07-01,171543,4,18101,0.10551873291244761
2021-07-01,171543,5,16014,0.09335268708137319
2021-07-01,171543,6,12571,0.07328191765329975
2021-07-01,171543,7,9659,0.056306582023166206
2021-07-01,171543,8,10801,0.06296380499350017
2021-07-01,171543,9,9284,0.05412054120541206
2021-07-01,171543,10,9231,0.05381158076983614
2021-07-01,171543,11,7629,0.044472814396390406
2021-07-01,171543,12,7124,0.04152894609514816
2021-07-01,171543,13,8165,0.047597395405233674
2021-07-01,171543,14,7565,0.044099730096827036
2021-07-01,171543,15,7286,0.04247331572841795
2021-07-01,171543,16,8001,0.04664136688760252
2021-07-01,171543,17,6091,0.03550713232250806
2021-08-01,133181,0,133181,1
2021-08-01,133181,1,27893,0.20943678152288991
2021-08-01,133181,2,20728,0.15563781620501424
2021-08-01,133181,3,19068,0.14317357581036333
2021-08-01,133181,4,16403,0.12316321397196296
2021-08-01,133181,5,13487,0.10126819891726298
2021-08-01,133181,6,9710,0.07290829773015671
2021-08-01,133181,7,9930,0.0745601850113755
2021-08-01,133181,8,8787,0.06597787972758877
2021-08-01,133181,9,7793,0.058514352647900225
2021-08-01,133181,10,6494,0.048760709110158354
2021-08-01,133181,11,5670,0.042573640384138876
2021-08-01,133181,12,6373,0.04785217110548802
2021-08-01,133181,13,5778,0.04338456686764629
2021-08-01,133181,14,5696,0.042768863426464736
2021-08-01,133181,15,6453,0.04845285738956758
2021-08-01,133181,16,4700,0.0352903191896742
2021-09-01,106122,0,106122,1
2021-09-01,106122,1,25204,0.23750023557791974
2021-09-01,106122,2,20178,0.19013965059082943
2021-09-01,106122,3,17018,0.1603626015340834
2021-09-01,106122,4,13546,0.12764554003882325
2021-09-01,106122,5,9815,0.09248789129492471
2021-09-01,106122,6,10257,0.09665290891615311
2021-09-01,106122,7,8743,0.08238631009592733
2021-09-01,106122,8,7801,0.07350973407964419
2021-09-01,106122,9,6329,0.059638906164603
2021-09-01,106122,10,5317,0.05010271197301219
2021-09-01,106122,11,6009,0.05662350879176797
2021-09-01,106122,12,5558,0.05237368311942858
