a.Chain_name,a.month,active_users,new_users,retention_rate
eth_mainnet,2021-05-01,271468,271468,
eth_mainnet,2021-06-01,251987,187166,0.23877952465852328
arbitrum_mainnet,2021-06-01,2,2,
eth_mainnet,2021-07-01,270323,170798,0.3949608511550199
arbitrum_mainnet,2021-08-01,19,18,0.5
eth_mainnet,2021-08-01,250567,132996,0.4349278455773279
eth_mainnet,2021-09-01,218309,105650,0.44961627029896195
arbitrum_mainnet,2021-09-01,63939,63927,0.631578947368421
eth_mainnet,2021-10-01,273091,143544,0.5934111740697818
arbitrum_mainnet,2021-10-01,34597,30001,0.07188101158917093
arbitrum_mainnet,2021-11-01,22117,17303,0.13914501257334452
optimism_mainnet,2021-11-01,475,475,
eth_mainnet,2021-11-01,348733,191309,0.5764525377987557
eth_mainnet,2021-12-01,304834,141438,0.46854183573106073
matic_mainnet,2021-12-01,96900,96900,
arbitrum_mainnet,2021-12-01,18627,13130,0.24854184563910114
optimism_mainnet,2021-12-01,10390,10279,0.2336842105263158
eth_mainnet,2022-01-01,251791,100726,0.4955647992021887
matic_mainnet,2022-01-01,148002,116357,0.3265737874097007
optimism_mainnet,2022-01-01,5186,3832,0.13031761308950915
arbitrum_mainnet,2022-01-01,13575,8309,0.2827078971385623
optimism_mainnet,2022-02-01,3278,1743,0.2959892016968762
matic_mainnet,2022-02-01,159892,105048,0.3705625599654059
eth_mainnet,2022-02-01,213847,85639,0.5091842043599653
arbitrum_mainnet,2022-02-01,11571,6344,0.3850460405156538
eth_mainnet,2022-03-01,252873,106941,0.6824131271423026
matic_mainnet,2022-03-01,154769,86874,0.42463037550346483
arbitrum_mainnet,2022-03-01,17333,11447,0.5086855068706249
optimism_mainnet,2022-03-01,2822,1507,0.40115924344112264
eth_mainnet,2022-04-01,228257,85610,0.5641053018708996
arbitrum_mainnet,2022-04-01,35981,23863,0.6991288294005654
matic_mainnet,2022-04-01,204469,128046,0.4937875155877469
optimism_mainnet,2022-04-01,5207,3354,0.6566265060240963
matic_mainnet,2022-05-01,192690,96922,0.46837417897089534
arbitrum_mainnet,2022-05-01,64505,38442,0.7243545204413441
eth_mainnet,2022-05-01,220166,82425,0.6034469917680509
optimism_mainnet,2022-05-01,18025,14329,0.7098137123103514
arbitrum_mainnet,2022-06-01,67887,40363,0.4266956049918611
eth_mainnet,2022-06-01,178815,64256,0.5203301145499305
matic_mainnet,2022-06-01,196428,110737,0.4447091182728735
optimism_mainnet,2022-06-01,64580,54160,0.5780859916782247
eth_mainnet,2022-07-01,180247,71369,0.6088862791152867
optimism_mainnet,2022-07-01,25610,14332,0.17463611025085166
arbitrum_mainnet,2022-07-01,42968,19246,0.34943361762929576
matic_mainnet,2022-07-01,155125,73404,0.41603539210295887
optimism_mainnet,2022-08-01,41812,23161,0.72827020695041
matic_mainnet,2022-08-01,170689,85739,0.5476228847703465
arbitrum_mainnet,2022-08-01,73428,35203,0.8896155278346677
eth_mainnet,2022-08-01,216795,86266,0.7241673925224831
arbitrum_mainnet,2022-09-01,115337,57471,0.788064498556409
matic_mainnet,2022-09-01,164670,70733,0.5503400922144953
optimism_mainnet,2022-09-01,54800,30892,0.5717975700755764
eth_mainnet,2022-09-01,217911,84346,0.6160889319403122
arbitrum_mainnet,2022-10-01,158702,86773,0.6236420229414672
matic_mainnet,2022-10-01,155081,74393,0.4899981781745309
optimism_mainnet,2022-10-01,76986,42743,0.6248722627737227
eth_mainnet,2022-10-01,230713,95854,0.618871924776629
optimism_mainnet,2022-11-01,129281,83103,0.5998233445041956
eth_mainnet,2022-11-01,251377,98614,0.6621343400675298
matic_mainnet,2022-11-01,212406,101279,0.7165739194356497
arbitrum_mainnet,2022-11-01,204342,104134,0.6314224143363033
matic_mainnet,2022-12-01,172470,72388,0.4711825466323927
arbitrum_mainnet,2022-12-01,169792,74084,0.4683716514470838
optimism_mainnet,2022-12-01,197129,142695,0.42105181735908603
eth_mainnet,2022-12-01,205334,80556,0.49637795025002285
